dates,doc_id,category,item,price,amount,discount
2025-05-25,s2_c1,weather,rain,3000,1,0
2025-05-25,s2_c1,season,summer,10,4,0
2025-05-25,s2_c1,sentiment,happiness,1,4,10
2025-05-25,s2_c1,sentiment,joy,100,5,5
2025-05-25,s2_c1,weather,clouds,1500,2,0
2025-05-25,s2_c1,season,autumn,500,1,5
2025-05-25,s2_c1,sentiment,sadness,500,4,5
2025-05-25,s2_c1,season,winter,500,1,0
2025-05-25,s2_c1,season,spring,50,1,10
2025-05-25,s2_c1,weather,sun,100,2,5
2025-05-25,s2_c1,sentiment,grief,10000,3,0
2025-05-25,s2_c1,weather,wind,500,1,5
